last_location,average_delay,occ
"VelloreHubtemp_VLR Vellore",5.0000,0
PERAMBUR,5.0000,0
VejalpurHub_ADI,5.0000,0
"THALTEJ ETAIL OFFICE",5.0000,0
NAZAFGARH,5.0000,0
Tiruvalla,5.0000,0
UMBERGAON,5.0000,0
"TTSPLKavandapadiODH_KVN Kavindapadi",5.0000,0
Yamunanagar,5.0000,0
PURASAWALKAM,5.0000,0
"SurendraNagarHub_SDR Surendranagar",5.0000,0
"TRANSPORT NAGAR LUCKNOW (LCKT)",5.0000,0
"Vimala MALAPPURAM",5.0000,0
Pune,5.0000,0
"WarjeHub_PUNE Warje",5.0000,0
"EXTN OF WEST DEL W/H",5.0000,0
"Tarun kumar DEHRADUN",5.0000,0
"ERNAKULAM, KERALA, IN",5.0000,0
"JAIPUR VIDHADHAR NAGAR",5.0000,0
"VISAKHAPATNAM, ANDHRA PRADESH, IN",5.0000,0
"SomesarMDH_JDH Jodhpur",5.0000,0
"VISHNU STORE NEW DELHI",5.0000,0
"PCK/HISSAR, Hissar, HARYANA",5.0000,0
"Peelamedu Hub Coimbatore",5.0000,0
"Cuddalore, Tamil Nadu, IN",5.0000,0
"PCK/LUD, Ludhiana, PUNJAB",5.0000,0
"SONIPAT, Panipat, HARYANA",5.0000,0
"JLD/JUC, Jalandhar, PUNJAB",5.0000,0
"Phagwara, PHAGWARA, PUNJAB",5.0000,0
"PhullanwalODH_PHU Ludhiana",5.0000,0
Trichy,5.0000,0
Tikamgarh,5.0000,0
THRISSUR,5.0000,0
"NGP/TEX, Nagpur, MAHARASHTRA",5.0000,0
"VettichiraHub_VTT Vettichira",5.0000,0
"TRIPPUNITHURA, Cochin, KERALA",5.0000,0
"MRT/GNG, Meerut, UTTAR PRADESH",5.0000,0
"VRS/NSR, VARANASI, UTTAR PRADESH",5.0000,0
"RAIPUR/HUB, Raipur, CHHATTISGARH",5.0000,0
"Vijayapura1, Vijayapura, KARNATAKA",5.0000,0
"Pilibhit, Pilibhit, UTTAR PRADESH",5.0000,0
"JBL/HUB, Jabalpur, MADHYA PRADESH",5.0000,0
"Perinthalmanna, Malappuram, KERALA",5.0000,0
"Sripur Bazar, Asansol, WEST BENGAL",5.0000,0
"MORADABAD, Moradabad, UTTAR PRADESH",5.0000,0
"Sankeshwar 1, Sankeshwar, KARNATAKA",5.0000,0
"UNA, UNA, HIMACHAL PRADESH",5.0000,0
"Math Laxmipur, Bareilly, UTTAR PRADESH",5.0000,0
"Shahjahanpur, Shahijahanpur, UTTAR PRADESH",5.0000,0
"RSC/Farrukhabad, Farrukhabad, UTTAR PRADESH",5.0000,0
