last_location,average_delay,occ
Fkl-BLRAnjaniHoskote,16.0000,0
"Thodupuzha Hub",16.0000,0
VKND,15.9375,0
PNPN,15.5000,0
"SILCHAR HUB",15.5000,0
TUMAKURU,15.5000,0
"Vatika, Jaipur, RAJASTHAN",15.5000,0
"Fatehabad HR, Fatehabad HR, HARYANA",15.3846,0
"NAGPUR, MAHARASHTRA, IN",15.3750,0
MANN,15.0000,0
Pitampurahub_DEL,15.0000,0
Indiranagarhub_LKO,15.0000,0
SAKET,15.0000,0
"BHIWANDI, MAHARASHTRA, IN",14.6667,0
PNYX,14.5300,0
WAZIRPUR,14.2500,0
"NEHRU PLACE",14.2500,0
TTSPLAmalnerODH_AMN,14.0000,0
"UttamNagar Hub",14.0000,0
"KHL/HUB, Kolhapur, MAHARASHTRA",14.0000,0
"Urga, Korba, CHHATTISGARH",14.0000,0
WTFD,13.7273,0
FKL_DELInCity,13.6667,0
Siliguri,13.5000,0
RMRN,13.4762,0
"MANYATHA TECH PARK",13.3333,0
"SriGanganagar, Sriganganagar, RAJASTHAN",13.3333,0
WORLI,13.1000,0
SATL,13.0000,0
Farukhnagar,13.0000,0
Nellore,13.0000,0
TaverekereHub_BLR,13.0000,0
Vettichira,13.0000,0
"Meerut, Meerut, UTTAR PRADESH",13.0000,0
"NASIK MINI HUB",12.9091,0
HSRL,12.9035,0
SECB,12.8571,0
"Sirsa, Sirsa, HARYANA",12.7500,0
TAVAREKERE,12.6000,0
Vijayawada,12.5750,0
"MUNDAKA COD UNIT",12.5682,0
GRND,12.5000,0
RajpurroadHub_DED,12.5000,0
"DEHRADUN WAREHOUSE",12.3846,0
Hyderabad,12.3333,0
DELH,12.2667,0
SMGD,12.2000,0
"KUNDLI AIR HUB",12.0417,0
BDQH,12.0000,0
BORV,12.0000,0
"Yadu online store RAIPUR",12.0000,0
Thiroor,12.0000,0
"JAIPUR - JAI",12.0000,0
"DELHI OFFSITE HUB",12.0000,0
"VISAKHAPATNAM, ANDHRA PRADESH, IN",12.0000,0
"Rudrapur, Rudrapur, UTTARAKHAND",12.0000,0
"RUDRAPUR HUB",11.9000,0
TRINITY,11.8889,0
MAYA,11.8333,0
DWRK,11.7500,0
"Makroniya MP, MAKRONIYA, MADHYA PRADESH",11.7500,0
"BENGALURU, KARNATAKA, IN",11.7308,0
CHSK,11.7130,0
Lucknow,11.6667,0
Visakhapatnam,11.5625,0
NIDA,11.5000,0
Pune,11.5000,0
"New Delhi",11.5000,0
"SECUNDERABAD HUB",11.3750,0
"NOIDA SECTOR 63",11.3333,0
"Tirupur Hub",11.2500,0
"KAPASHERA HUB",11.2113,0
"MUMBAI KANDIVALI WAR",11.1674,0
"RAIPUR WAREHOUSE",11.1667,0
"PUNE - PNQ",11.0440,0
CHBR,11.0000,0
"NAGPUR AIR HUB",11.0000,0
Indore,11.0000,0
SalebhataODH_BLG,11.0000,0
"MotherHub_LKO Lucknow",11.0000,0
Shimoga,11.0000,0
NELAMANGALA,11.0000,0
ThokottuHub_IXE,11.0000,0
Moradabad,11.0000,0
"SAFDARJUNG ETAIL",11.0000,0
"WHF APX/SFC PUD CENTRE",11.0000,0
"BENGALURU ETAIL HUB",11.0000,0
"SONIPAT, Panipat, HARYANA",11.0000,0
"RTO/AMD, Ahmedabad, GUJARAT",11.0000,0
SPET,10.9000,0
"MotherHub_HYP Hyderabad",10.8000,0
"PNP/HUB, Panipat, HARYANA",10.7273,0
WADALA,10.7037,0
PALGHAT,10.6667,0
MPUM,10.6000,0
"PCK/LUD, Ludhiana, PUNJAB",10.5333,0
"AMBALA AIR HUB",10.5000,0
"LUDHIANA - LDH",10.5000,0
"NAGPUR WAREHOUSE",10.4600,0
"RJK WAREHOUSE",10.3636,0
"SALEM MINI HUB",10.3333,0
YESHWANTPUR,10.2500,0
"SXR/HUM, Srinagar, JAMMU AND KASHMIR",10.2000,0
"MUMBAI EAST WAREHOUSE",10.1250,0
GANDHINAGAR,10.1250,0
"PATNA AIR HUB",10.0857,0
GZBD,10.0000,0
ThiroorHub_TRR,10.0000,0
Theni,10.0000,0
Udgir,10.0000,0
Veraval,10.0000,0
Yavatmal,10.0000,0
"IND WAREHOUSE",10.0000,0
"PIDUGURALLA REACH",10.0000,0
"NORTH GOA, Goa, IN",10.0000,0
"RTO/MIR, Mumbai, MAHARASHTRA",10.0000,0
"TRICHY, Trichy, TAMIL NADU",10.0000,0
"Wardha, Wardha, MAHARASHTRA",10.0000,0
"NAVI MUMBAI, MAHARASHTRA, IN",10.0000,0
"ULU/AMT-TML, HOWRAH, WEST BENGAL",10.0000,0
"IDR/LH1, Indore, MADHYA PRADESH",10.0000,0
"CHENNAI, TAMIL NADU, IN",9.8333,0
"SURAT - SUR",9.8000,0
"VASHI MINI HUB",9.7568,0
VELACHERY,9.7500,0
MATHURA,9.7500,0
PARRYS,9.7368,0
SNPD,9.6667,0
"RKT/PC, Rajkot, GUJARAT",9.5114,0
"UDI/HUB, Udaipur, RAJASTHAN",9.5000,0
"BOM/HUB, Mumbai, MAHARASHTRA",9.4000,0
"VNS/LH1, VARANASI, UTTAR PRADESH",9.3636,0
THNM,9.1667,0
"UPH, Lucknow, UTTAR PRADESH",9.1429,0
"Trissur Hub",9.0000,0
"Thiruverumbur Hub",9.0000,0
"MotherHub_BLR Bengaluru",9.0000,0
Noida,9.0000,0
"SARKHEJ PUD",9.0000,0
"JAIPUR MALVIYA NAGAR",9.0000,0
"KONA WAREHOUSE",9.0000,0
"MARAIMALAI NAGAR",9.0000,0
"WAI, MAHARASHTRA, IN",9.0000,0
"Indore, MADHYA PRADESH, IN",9.0000,0
"PNQ/WKD, PUNE, MAHARASHTRA",9.0000,0
"Nirman Nagar, Jaipur, RAJASTHAN",9.0000,0
"JAIPUR HUB",8.9412,0
KPHB,8.8750,0
VADAPALANI,8.8571,0
"PCK/KNP, Kanpur, UTTAR PRADESH",8.7857,0
"LUCKNOW AIR HUB",8.7297,0
SONP,8.7143,0
"DEL/LH1, Gurgaon, HARYANA",8.6667,0
KOMP,8.5000,0
JAIPUR,8.4000,0
"PANVEL HUB",8.3333,0
"HYD/LH1, Hyderabad, TELANGANA",8.3333,0
VARANASI,8.0833,0
MORN,8.0000,0
LUDI,8.0000,0
Ponda,8.0000,0
SEEPZ,8.0000,0
TENALI,8.0000,0
"Uttar Dinajpur",8.0000,0
"SOLAPUR AIR HUB",8.0000,0
SONIPAT,8.0000,0
"Trimulgherry Hub",8.0000,0
"MotherHub_CSK Chennai",8.0000,0
Thanjavur,8.0000,0
Pondicherry,8.0000,0
Yamunanagar,8.0000,0
SECUNDERABAD,8.0000,0
Vishakapatnam,8.0000,0
"VIJAYAWADA HUB",8.0000,0
"BOPAL SVC",8.0000,0
"VASAI ROAD ETAIL",8.0000,0
"Sira, Sira, KARNATAKA",8.0000,0
"RTO/BRY, BANGALORE, KARNATAKA",8.0000,0
SRIGANGANAGAR,8.0000,0
"MAHALAKSHMI PURAM  ETAIL",8.0000,0
"RKT/HUB, Rajkot, GUJARAT",8.0000,0
"Chandapura, Karnataka, IN",8.0000,0
"Palakkad, PALAKKAD, KERALA",8.0000,0
"Sagar, Sagar, MADHYA PRADESH",8.0000,0
"WNG/WNG, Warangal, TELANGANA",8.0000,0
"Mandi, Mandi, HIMACHAL PRADESH",8.0000,0
"VPT/HUB, Visakhapatnam, ANDHRA PRADESH",8.0000,0
"RSC/Rishikesh, Rishikesh, UTTARAKHAND",8.0000,0
"KOLKATA HUB",7.9524,0
ROORKEE,7.6667,0
PORUR,7.5000,0
THIRUVANMIYUR,7.5000,0
"VILE PARLE E-TAIL",7.5000,0
"Saoner, Saoner, MAHARASHTRA",7.5000,0
"Pathankot, Pathankot, PUNJAB",7.5000,0
"CCU/LH1, Kolkata, WEST BENGAL",7.5000,0
"VIJAYAWADA, ANDHRA PRADESH, IN",7.5000,0
"GUWAHATI HUB",7.4483,0
"VADODARA WAREHOUSE",7.4000,0
"PARIMAL GARDEN E-TAIL",7.3333,0
"TRV/TRV, Trivandrum, KERALA",7.3333,0
"TRV MINI HUB",7.2857,0
"TNAGAR SERVICE CENTRE",7.2500,0
BHIM,7.0000,0
DMLR,7.0000,0
MIRM,7.0000,0
FORT,7.0000,0
HRBS,7.0000,0
MDME,7.0000,0
MSRS,7.0000,0
MYSR,7.0000,0
TATL,7.0000,0
YLKA,7.0000,0
SEONI,7.0000,0
UlweODH_PNV,7.0000,0
VIJAY,7.0000,0
"ZIRAKPUR - ZKP",7.0000,0
BATALA,7.0000,0
TARDEO,7.0000,0
Gurgaon,7.0000,0
PASKURA,7.0000,0
Ramganj,7.0000,0
SASARAM,7.0000,0
"VerkaODH_ATQ Amritsar",7.0000,0
"SALEM HUB",7.0000,0
NagaonHub_NGN,7.0000,0
NARSINGI,7.0000,0
Warangal,7.0000,0
Secundrabad,7.0000,0
SircillaHub_SRC,7.0000,0
KUSHKHERA,7.0000,0
SARJAPURA,7.0000,0
UMBERGAON,7.0000,0
KISHANGARH,7.0000,0
PATENCHERU,7.0000,0
VIDYANAGAR,7.0000,0
TOLICHOWKI,7.0000,0
"ULUBERIA BDEL",7.0000,0
"VizagTcHub_VTZ Visakhapatnam",7.0000,0
"PEENYA COUNTER",7.0000,0
"KOCHIN MINI HUB",7.0000,0
"TIRUNELVELI HUB",7.0000,0
Tiruchirappalli,7.0000,0
VANASTHALIPURAM,7.0000,0
"WAZIRPUR E-TAIL",7.0000,0
"GOA, GOA, IN",7.0000,0
"NCM ETAIL CENTRE",7.0000,0
"HSR E-TAIL CENTRE",7.0000,0
"LAST MILE MANESAR",7.0000,0
"TOWN ETAIL CENTRE",7.0000,0
"THAMBU CHETTY PALYA",7.0000,0
"MUMBAI AIRPORT WAREHOUSE",7.0000,0
"LUCKNOW SITAPUR ROAD",7.0000,0
"TIRUPUR PALADAM ROAD",7.0000,0
"Vadodara, Gujrat, IN",7.0000,0
"GGN E-TAIL DELIVERIES",7.0000,0
"KUKATPALLY Y JUNCTION",7.0000,0
"Chennai, Tamilnadu, IN",7.0000,0
"Surat/HUB, Surat, GUJARAT",7.0000,0
"LUCKNOW SERVICE CENTRE",7.0000,0
"MANIPAL, KARNATAKA, IN",7.0000,0
"Sudhar, SUDHAR, PUNJAB",7.0000,0
"NOIDA, Delhi NCR, DELHI",7.0000,0
"VENGARA, Kannur, KERALA",7.0000,0
"JMW-APX SFC ETAIL PUD",7.0000,0
"Udhna GJ, Surat, GUJARAT",7.0000,0
"DEL/PTD, Delhi NCR, DELHI",7.0000,0
"Puthyangadi, Kannur, KERALA",7.0000,0
"THN/GHO, Thane, MAHARASHTRA",7.0000,0
"BOM/KND, Mumbai, MAHARASHTRA",7.0000,0
"NGP/TEX, Nagpur, MAHARASHTRA",7.0000,0
